category,assessment,ndar_structure,banda_var,ndar_var,notes,fixed_value,respondent,var_type,recode,na_val,T2,T3,Notes,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
nih,List Sorting,lswmt01,List.Sorting.Working.Memory.Test.Raw.Score,nihtbx_list_rawscore,Raw Score,,,,,,,,,,,,,
nih,List Sorting,lswmt01,List.Sorting.Working.Memory.Test.ItmCnt,nihtbx_list_itmcnt,Test ItmCnt,,,,,,,,,,,,,
nih,List Sorting,lswmt01,List.Sorting.Working.Memory.Test.Uncorrected.Standard.Score,nihtbx_list_uncorrected,Uncorrected Standard Score,,,,,,,,,,,,,
nih,List Sorting,lswmt01,List.Sorting.Working.Memory.Test.Age.Corrected.Standard.Score,nihtbx_list_agecorrected,Age Corrected Standard Score,,,,,,,,,,,,,
nih,List Sorting,lswmt01,List.Sorting.Working.Memory.Test.Fully.Corrected.T.Score,nihtbx_list_fullycorrected,Fully Corrected T Score,,,,,,,,,,,,,
nih,List Sorting,lswmt01,,version_form,Version,NIH Toolbox List Sorting Working Memory Test Age 7+ v2.0,,,,,,,,,,,,
nih,Flanker,flanker01,Flanker.Raw.Score,nihtbx_flanker_rawscore,Raw Score,,,,,,,,,,,,,
nih,Flanker,flanker01,Flanker.ItmCnt,nihtbx_flanker_itmcnt,Test ItmCnt,,,,,,,,,,,,,
nih,Flanker,flanker01,Flanker.Computed.Score,nihtbx_flanker_computedscore,Computed Score,,,,,,,,,,,,,
nih,Flanker,flanker01,Flanker.Uncorrected.Standard.Score,nihtbx_flanker_uncorrected,Uncorrected Standard Score,,,,,,,,,,,,,
nih,Flanker,flanker01,Flanker.Age.Corrected.Standard.Score,nihtbx_flanker_agecorrected,Age Corrected Standard Score,,,,,,,,,,,,,
nih,Flanker,flanker01,Flanker.Fully.Corrected.T.Score,nihtbx_flanker_fullycorrected,Fully Corrected T Score,,,,,,,,,,,,,
nih,Flanker,flanker01,,version_form,Version,NIH Toolbox Flanker Inhibitory Control and Attention Test Age 12+ v2.0,,,,,,,,,,,,
nih,Dimensional Card Sort,dccs01,Dimensional.Change.Card.Sort.Test.Raw.Score,nih_dccs_raw,Raw Score,,,,,,,,,,,,,
nih,Dimensional Card Sort,dccs01,Dimensional.Change.Card.Sort.Test.ItmCnt,nihtbx_cardsort_itmcnt,Test ItmCnt,,,,,,,,,,,,,
nih,Dimensional Card Sort,dccs01,Dimensional.Change.Card.Sort.Test.Computed.Score,nih_dccs_computed,Computed Score,,,,,,,,,,,,,
nih,Dimensional Card Sort,dccs01,Dimensional.Change.Card.Sort.Test.Uncorrected.Standard.Score,nih_dccs_unadjusted,Uncorrected Standard Score,,,,,,,,,,,,,
nih,Dimensional Card Sort,dccs01,Dimensional.Change.Card.Sort.Test.Age.Corrected.Standard.Score,nih_dccs_ageadjusted,Age Corrected Standard Score,,,,,,,,,,,,,
